"HITId","HITTypeId","Title","CreationTime","MaxAssignments","AssignmentDurationInSeconds","AssignmentId","WorkerId","AcceptTime","SubmitTime","WorkTimeInSeconds","Input.agent_turn_0","Input.option_0","Input.option_0_idx","Input.option_1","Input.option_1_idx","Input.option_2","Input.option_2_idx","Input.option_3","Input.option_3_idx","Input.user_turn_0","Input.user_turn_1","Answer.comments","Answer.manual_entry","Answer.radio-input","Turkle.Username"
"736313","997","TestCalibrationHit","Tue Oct 11 17:15:27 UTC 2022","1","86400","30840","52","Tue Oct 11 17:15:35 UTC 2022","Tue Oct 11 17:15:50 UTC 2022","15"," I found 1 matching event on your calendar . It 's "" work in recording studio "" tomorrow from 2 : 00 to 4 : 00 PM . ","cancel work in recording studio on sunday at 2","1","Will it be raining that day?","3","cancel work in recording studio","2","Delete work in recording studio from 2 to 4 pm on Sunday.","0"," What events do I have planned for tomorrow ? "," Cancel work in recording studio on Sunday from 2 : 00 to 4 : 00 pm . ","","","4","esteng"
"736314","997","TestCalibrationHit","Tue Oct 11 17:15:27 UTC 2022","1","86400","30841","52","Tue Oct 11 17:15:50 UTC 2022","Tue Oct 11 17:16:02 UTC 2022","12"," The "" Meeting "" is on Friday from 5 : 00 to 5 : 30 PM . ","Do I have anything before the end of the day on Saturday?","0","Do I have a party tomorrow night?","3","Do I have anything on Saturday that ends at the end of the day?","2","Do I have anything on Saturday that ends at the end of the day?","1"," Can you find my event that s at the end of the day on friday ? "," Do I have any events that end at the end of the day on Saturday ? ","","","3","esteng"
"736315","997","TestCalibrationHit","Tue Oct 11 17:15:27 UTC 2022","1","86400","30842","52","Tue Oct 11 17:16:02 UTC 2022","Tue Oct 11 17:16:15 UTC 2022","13","","Will it reach 100 today?","3","Schedule a one-on-one with Elli on Wednesday at 4:00 pm.","2","Schedule a one-on-one with Elli on Wednesday at 3:00 pm.","1","Schedule a one-on-one with Elli on Wednesday at 7:00 PM.","0",""," Schedule a one on one with Elli for We d at 4'00 pm . ","","","2","esteng"
"736316","997","TestCalibrationHit","Tue Oct 11 17:15:27 UTC 2022","1","86400","30843","52","Tue Oct 11 17:16:15 UTC 2022","Tue Oct 11 17:16:38 UTC 2022","23"," I 've put that on your calendar . ","Change the start time to 8:45 PM.","0","Schedule a haircut at lunch time on Friday.","3","Change the start time to 5:45 PM.","2","Change the time to 0845","1"," Sure is . "," Actually , that should start at 6;45 ","","Change the start time to 6:45 PM","4","esteng"
"736317","997","TestCalibrationHit","Tue Oct 11 17:15:27 UTC 2022","1","86400","30844","52","Tue Oct 11 17:16:39 UTC 2022","Tue Oct 11 17:17:00 UTC 2022","21"," I can help you create , update , and delete events on your calendar . You can also ask me about your schedule . ","Do I have anything between 4 and 7 pm tomorrow?","1","Do I have anything tomorrow afternoon?","3","Do I have anything at 7 pm tomorrow?","2","Do I have anything between 4 and 7 pm tomorrow?","0"," hi "," Do I have anything betwee 4 and 7 tomorrow ? ","","","4","esteng"
"736318","997","TestCalibrationHit","Tue Oct 11 17:15:27 UTC 2022","1","86400","30845","52","Tue Oct 11 17:17:00 UTC 2022","Tue Oct 11 17:17:08 UTC 2022","8"," Does one of these work ? ","I will be in Colorado from April 8th to the 15th","3","the first one","0","","2","The top one please","1"," Tomorrow morning is new tooothbrush time "," The upper one ","","","2","esteng"
"736319","997","TestCalibrationHit","Tue Oct 11 17:15:27 UTC 2022","1","86400","30846","52","Tue Oct 11 17:17:08 UTC 2022","Tue Oct 11 17:17:24 UTC 2022","16","","put meeting with rohila today","0","When is Thanksgiving?","3","put meeting with rohila","2","put meeting with rohila tomorrow","1",""," put meeting with rohila on monady ","","put meeting with rohila  on Monday","","esteng"
"736320","997","TestCalibrationHit","Tue Oct 11 17:15:27 UTC 2022","1","86400","30847","52","Tue Oct 11 17:17:24 UTC 2022","Tue Oct 11 17:17:42 UTC 2022","18","","how hot will it be today in buffalo warm","3","i need a meeting with david crim and kim possible before noon today","2","i need a meeting with david crim and kim possible before noon","1","schedule a meeting with david crim and kim possible before noon","0",""," create a meeting with david crim and kim possible before noon ","","","4","esteng"
"736321","997","TestCalibrationHit","Tue Oct 11 17:15:27 UTC 2022","1","86400","30848","52","Tue Oct 11 17:17:42 UTC 2022","Tue Oct 11 17:17:53 UTC 2022","11"," The event matching "" lunch "" on Friday is located in The Ruby Slipper Cafe on Canal Street . ","Can you change the title to ""staff meeting""","3","Great. I'll need a room for that.","1","I need a room","0","Does it have outdoor seating?","2"," Where is my lunch on the 3 rd ? "," Can we get space to sit outside ? ","","","4","esteng"
"736322","997","TestCalibrationHit","Tue Oct 11 17:15:27 UTC 2022","1","86400","30849","52","Tue Oct 11 17:17:53 UTC 2022","Tue Oct 11 17:17:59 UTC 2022","6"," Is this good ? ","What do I have on my calendar in the next 3 hours?","3","no make it at 4 am","2","4 am is perfect","0","yes","1"," create meeting on monday at 4 "," 4 am ","","","2","esteng"
