user_turn_0,agent_turn_0,user_turn_1,option_list,option_idx_list
 Hello . I want to schedule my appointment . Select this Thursday . , Does one of these work ? , OK ,"[""bye"", ""Yes"", ""How do I confirm?"", ""I want to change the time of my appointment on Thursday."", ""No"", ""Hello. I need help with my calendar."", ""Are you there?"", ""the first one""]","[0, 1, 2, 3, 4, 5, 6, 9]"
,, Can you put Shelley on the schedule for Monday 's Advisory Board Meeting ? ,"[""Add Shelley to the Advisory Board Meeting on Monday."", ""Can you add Shelley to Monday's Advisory Board Meeting?"", ""Put on calendar Advisory Board Meeting with Shelley on Monday."", ""Add Shelley to the Advisory Board Meeting"", ""Add Shelley to Monday's Advisory Board Meeting.""]","[0, 1, 2, 5, 9]"
" Perfect , thank you . ", Let me know if there 's anything else I can help you with . , Make a appointment for tomorrow . ,"[""Make a appointment for tomorrow""]",[0]
 Show me events besides eating . ," I found 2 events not matching "" eating "" . ", Does my calender have anything that is not work ? ,"[""Show me events that are not eating."", ""What can you do?"", ""Show me events that are not work related."", ""Show events that are not eating."", ""Do I have anything on my calendar besides work?"", ""Show me events that are not traveling."", ""Do I have any upcoming events?""]","[0, 1, 3, 4, 5, 7, 8]"
 Can you find their number for me ? , It 's ( 502 ) 452 - 9244 . , Can you tell me how much The Wild Cow in Nashville costs ? ,"[""How much is The Wild Cow in Nashville?"", ""What is the price of Wild Cow in Nashville?"", ""What are the prices of The Wild in Nashville?"", ""How much is The Wild's in Nashville?"", ""What are the prices of The Wild"", ""What is the price of The Wild Restaurant in Nashville?"", ""What are the prices of The Wild's Nashville?"", ""What is the price of Wild Wild in Nashville?"", ""What is the price of Admission to The Wild Museum in Nashville?"", ""What is the price of The Wild in Nashville in Nashville?""]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
 The duration should be for two hours . Cancel the event prior to that one . ," I can only do one action at a time . If you separate your requests , I can help you . ", alright you can confirm the movies ,"[""That's alright."", ""Cancel the event prior to that one."", ""I need to change the date of my doctor's appointment."", ""What do you think the staff meeting will be about?"", ""What can you do?"", ""Yes please cancel."", ""The movies event looks good"", ""yes"", ""Do I have any days that I'm free to go to the movies?"", ""I'm going to the movies on Wednesday.""]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
 How hot will it be when I land in LA tonight ? , The maximum temperature will be 0 . 00 ° F today . , On Saturday in St. Louis will there be storms ? ,"[""Is there going to be any storms in St. Louis on Saturday?"", ""Will it be raining in St. Louis on Saturday?"", ""Will it rain in St. Louis on Saturday?"", ""Will it be nice in St. Louis on Saturday?"", ""Will it be snowing in St. Louis on Saturday?"", ""Will it snow in St. Louis on Saturday?"", ""Will it be windy in St. Louis on Saturday?"", ""What is my email address for St. Louis on Saturday?"", ""I'm going to St. Louis on Saturday"", ""Is there going to be any storms coming through St. Louis in Saturday?""]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
 I would like to know what day presidents day falls on next year please . ," Presidents Day is on Monday , February 15 , 2021 . ", Can you put vacation on the first of June next year ? ,"[""When is Arbor Day in 2021?"", ""Can you schedule a vacation on June 1 next year?"", ""Can you schedule a vacation for the first week of June?"", ""Can you put me down for vacation sometime in June next year?"", ""Can you put me down for vacation during June next year?"", ""i need to add an event for the first week of june"", ""Can you put me down for vacation in June next year?"", ""Can you make me an event for June 1 next year?"", ""Can you schedule a vacation for the first weekend in june?"", ""Can you put me down for vacation on June 6 next year?""]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
 Please remove my appointment at 1 PM . , I did n't find any events on your calendar tomorrow at 1 : 00 PM . , Please change my 1 PM appointment to 2 PM . ,"[""I need to remove an appointment"", ""Please reschedule my appointment at 1 PM to 2 PM"", ""Please change my appointment at 1 PM to 2 PM."", ""Please change my appointment at 1 PM to 2 PM"", ""Can you change the time to 2pm"", ""Please move my appointment at 1 PM to 2 PM."", ""Please reschedule my appointment today at 1 PM to 2 PM.""]","[0, 1, 2, 3, 4, 7, 8]"
 cancel that please , Is this what you want me to cancel ? ," Do n't cancel it , just move it to next week instead . ","[""Yes and reschedule for next week."", ""No, that's not it."", ""No, just change the time."", ""Cancel everything for that day, actually."", ""defer the next meeting Simmons"", ""No, just reschedule it for next week at the same time."", ""No, just move it to next week."", ""No actually just move it to next week."", ""I need to move my meeting to next week.""]","[0, 1, 2, 3, 4, 5, 6, 7, 8]"
