user_turn_0,agent_turn_0,user_turn_1,option_0,option_0_idx,prob_0,option_1,option_1_idx,prob_1,option_2,option_2_idx,prob_2
 Hello . I want to schedule my appointment . Select this Thursday . , Does one of these work ? , OK,bye,0,0.1644751876592636,Yes,1,0.4551452105789662,How do I confirm?,2,0.05141977593302727
,, Can you put Shelley on the schedule for Monday 's Advisory Board Meeting ?,Add Shelley to the Advisory Board Meeting on Monday.,0,0.410316925162541,Can you add Shelley to Monday's Advisory Board Meeting?,1,7.708187393656071e-05,Add Shelley to the Advisory Board Meeting on Monday.,2,1.5041888624369066e-06
" Perfect , thank you . ", Let me know if there 's anything else I can help you with . , Make a appointment for tomorrow .,Make a appointment for tomorrow,0,0.9774064772686053,Make a appointment for tomorrow,1,2.2597825025939258e-08,Make a appointment for tomorrow,2,1.3782037208810195e-05
 Show me events besides eating . ," I found 2 events not matching "" eating "" . ", Does my calender have anything that is not work ?,Show me events that are not eating.,0,0.15179561078548431,Show me events that are not work related.,1,0.3756723708588119,Do I have anything on my calendar besides work?,2,0.03076044646111975
 Can you find their number for me ? , It 's ( 502 ) 452 - 9244 . , Can you tell me how much The Wild Cow in Nashville costs ?,How much is The Wild Cow in Nashville?,0,0.6005486561854553,What is the price of Wild Cow in Nashville?,1,1.0404727645445472e-10,How much is The Wild's in Nashville?,2,7.970480349913967e-14
 The duration should be for two hours . Cancel the event prior to that one . ," I can only do one action at a time . If you separate your requests , I can help you . ", alright you can confirm the movies,That's alright.,0,0.3743741810321808,Yes please cancel.,1,0.010000819878693223,The movies event looks good,2,0.06335234713142293
 How hot will it be when I land in LA tonight ? , The maximum temperature will be 0 . 00 ° F today . , On Saturday in St. Louis will there be storms ?,Is there going to be any storms in St. Louis on Saturday?,0,0.8064682185221113,Will it be raining in St. Louis on Saturday?,1,2.5577253278850935e-05,Will it rain in St. Louis on Saturday?,2,1.982607369748621e-05
 I would like to know what day presidents day falls on next year please . ," Presidents Day is on Monday , February 15 , 2021 . ", Can you put vacation on the first of June next year ?,Can you schedule a vacation on June 1 next year?,0,0.11652670456730015,Can you schedule a vacation for the first week of June?,1,0.01616326582629227,Can you put me down for vacation sometime in June next year?,2,0.0001344021381587795
 Please remove my appointment at 1 PM . , I did n't find any events on your calendar tomorrow at 1 : 00 PM . , Please change my 1 PM appointment to 2 PM .,Please reschedule my appointment at 1 PM to 2 PM,0,0.2948537740565871,Please change my appointment at 1 PM to 2 PM.,1,0.008356964289173402,Please change my appointment at 1 PM to 2 PM,2,0.0013641854441250995
 cancel that please , Is this what you want me to cancel ? ," Do n't cancel it , just move it to next week instead .",Yes and reschedule for next week.,0,0.6991922267848104,"No, just move it to next week.",1,0.0005450976907173992,No actually just move it to next week.,2,2.977372791172245e-14
,," Please invite Kevin and Steve to tomorrow 's 3 : 30 meeting , and remove John , Kayla and Thomas","Kevin will be replacing Steve, John, Kayla, and Thomas.",0,0.12399301104778301,"Add Kevin, Steve, John and remove Kayla and Thomas.",1,0.08981533982615192,Add Kevin and John to the event and remove Kayla and Thomas.,2,2.8948778306152117e-05
 Please change this to In N Out Burger and make it around 5 pm , Does one of these work ? , yes . now make me a track meet event around 3 pm,Looks good. Now make my track meet start around 3 pm,0,0.09703717207960985,Yes. I also have a track meet that I want to attend around 3 pm,1,0.00794394843880439,Looks good. I also have a track meet at around 3 pm,2,0.003004891887735598
 first one is good , I 've put that on your calendar . , I will need another appointment on Friday for lunch sometime before 2,I need a lunch before 2 pm Friday,0,0.32976528942541344,I need a lunch before 2 pm Friday,1,0.005454677445993306,I need to have a lunch before 2 pm Friday,2,2.526117597917128e-05
,, Cancel the meeting I had scheduled for this Thursday and switch it to Friday afternoon .,I need to cancel all my meetings for tomorrow.,0,0.04029647260904312,Can you move my Thursday meeting to Friday afternoon?,1,0.00294367137431551,Can you move my meeting from Thursday to Friday afternoon?,2,5.844140667655938e-09
 What is my next all day event ," The next all - day event is "" Meeting with Damon Straeter , Abby Gonano , Dan Marton , and Jesse Rosenfeld "" tomorrow . ", Can you extend that to Saturday ?,Can you change that to end on Saturday?,0,0.007308059316924889,Can you change that to end on Saturday?,1,4.662774825282353e-17,Can you change that to end on Saturday?,2,1.807586253170354e-21
 Can you delete the events on Monday and Tuesday ? ," I can only do one action at a time . If you separate your requests , I can help you . ", Create event for Monday and Tuesday called Vacation .,Delete all events on Monday and Tuesday.,0,0.795068085193634,What events do I have on Monday and Tuesday?,1,0.018061645328998566,Mark next Monday and Tuesday as Vacation.,2,3.289479780612511e-16
 Yes please . Then recreate it for the week after ," I 've deleted your next event . Sorry , I ca n't handle that yet . ", ok make sure to delete the meeting with martin afterword,cancel the meeting with martin,0,0.5173459757328083,Cancel meeting with martin,1,2.563034728723449e-05,cancel meeting with martin,2,2.452912300617757e-07
 I need to move today 's staff meeting to Thursday afternoon . , Does one of these work ? , The later one works .,Show me different times.,0,0.22184047102928162,Show some different timing.,1,0.08109154552221298,The later one.,2,0.2854308803667287
 schedule lunch with all departmental heads , I can only look up names in your address book . Please use a full name and try again . , Can you find Mike in my book ?,Look up Mike in my address book,0,0.8595201978992354,Look up Mike in my address book,1,7.14815858972414e-05,Who do I report to?,2,1.831292813517238e-06
