"HITId","HITTypeId","Title","CreationTime","MaxAssignments","AssignmentDurationInSeconds","AssignmentId","WorkerId","AcceptTime","SubmitTime","WorkTimeInSeconds","Input.agent_turn_0","Input.option_idx_list","Input.option_list","Input.user_turn_0","Input.user_turn_1","Answer.comments","Answer.manual_entry","Answer.radio-input","Turkle.Username"
"737561","997","TestCalibrationHit","Thu Oct 20 14:51:40 UTC 2022","1","86400","30906","52","Thu Oct 20 15:02:03 UTC 2022","Thu Oct 20 15:02:20 UTC 2022","17"," That was the last result . ","[0, 2, 4]","[""Do I have a lunch after the dentist?"", ""Do I have lunch after the dentist?"", ""Do I have anything after lunch but before the dentist?""]"," And the next one ? "," IS there a lunch schedule after the dentist ? ","","","1","esteng"
"737562","997","TestCalibrationHit","Thu Oct 20 14:51:40 UTC 2022","1","86400","30907","52","Thu Oct 20 15:02:20 UTC 2022","Thu Oct 20 15:03:03 UTC 2022","43"," I can only do one action at a time . If you separate your requests , I can help you . ","[0, 1, 2, 3, 4, 5, 7, 8, 9]","[""email Cecelia Waller that the meeting is set"", ""Can you forward this to Mike?"", ""Why is that?"", ""Please schedule a meeting with the pope tomorrow."", ""Please add Mike to this meeting."", ""Please call Mike for me."", ""Can you schedule a meeting with Mike?"", ""Can you forward my meeting to Mike?"", ""Can you forward this to Mike and Mike""]"," Please cancel both Thursday meetings with John . "," Can you send Mike an invitation ? ","","","5","esteng"
"737563","997","TestCalibrationHit","Thu Oct 20 14:51:40 UTC 2022","1","86400","30908","52","Thu Oct 20 15:03:03 UTC 2022","Thu Oct 20 15:03:43 UTC 2022","40"," I 've put that on your calendar . ","[0, 1, 5, 7, 8]","[""down time with janice at 2"", ""2-4PM down time with janice"", ""schedule down time with janice until 4\\2"", ""2-4PM down time with janice at janice"", ""2-4PM is down time with janice.""]"," That 'll work . "," 2 - 4 PM is down time with janice . ","","schedule down time with janice from 2-4PM","2","esteng"
"737564","997","TestCalibrationHit","Thu Oct 20 14:51:40 UTC 2022","1","86400","30909","52","Thu Oct 20 15:03:44 UTC 2022","Thu Oct 20 15:04:20 UTC 2022","36"," No , I did n't find any events on Sunday the 20 th after 5 : 00 PM . ","[0, 1, 3, 4]","[""How do I add an event to my calendar?"", ""Add Strange Aeons to my calendar on Sunday from 7 pm to 11 pm at Roll20."", ""Add Strange Aeons to my calendar on Saturday from 7 pm to 11 pm at Roll20."", ""Can you confirm this?""]"," Do I have anything on Sunday after 5 pm ? "," Put Strange Aeons for sunday at 7 : 30 pm until 11 pm . It 'll be in Roll20 as usual . ","","Add Strange Aeons to my calendar on Sunday from 7:30PM to 11PM at Roll20","","esteng"
"737565","997","TestCalibrationHit","Thu Oct 20 14:51:40 UTC 2022","1","86400","30910","52","Thu Oct 20 15:04:20 UTC 2022","Thu Oct 20 15:05:39 UTC 2022","79"," How about now ? ","[0, 1, 2, 3, 8, 9]","[""Extend the end time by 15 minutes."", ""Extend it to 8AM please"", ""Can you extend it by 30 min?"", ""That looks good."", ""Extend it to 8PM"", ""Extend appointment until 8:00 AM.""]"," Extend it by 30 min "," it ends at 8 AM ","","","2","esteng"
"737566","997","TestCalibrationHit","Thu Oct 20 14:51:40 UTC 2022","1","86400","30911","52","Thu Oct 20 15:05:39 UTC 2022","Thu Oct 20 15:06:04 UTC 2022","25"," I have declined it . I will decline "" AC / CD Reunion "" and send a response to the organizer with the following comment : "" i am going to see Journey instead "" . Is that ok ? ","[0, 3, 4, 5, 9]","[""Yes, that's good. Decline my hike and say that I'm busy wake boarding that day."", ""Yes, that's good. Decline the hike and say that I'm busy wake boarding that day."", ""Yes, thank you. Decline my hike and say that I'm busy wake boarding."", ""Decline the hike and say that I'm busy wake boarding that day."", ""Yes, thank you. Decline my hike and say that I'm busy boarding that day.""]"," Yes also decline my AC / CD Reunion and say i am going to see Journey instead "," Yes . And decline the hike and say that I 'm busy wake boarding that day . ","","","2","esteng"
"737567","997","TestCalibrationHit","Thu Oct 20 14:51:40 UTC 2022","1","86400","30912","52","Thu Oct 20 15:06:04 UTC 2022","Thu Oct 20 15:06:34 UTC 2022","30"," I 've put that on your calendar . ","[0, 1, 2, 3, 5, 6, 8, 9]","[""Schedule a video call with Tom and his supervisor on Friday at 2:00 pm."", ""Schedule a video call with the manager on Friday at 2:00 pm."", ""Schedule a video call with Tom and his supervisor Friday at 2 pm."", ""Schedule a video call with Tom's manager on Friday at 2:00 pm."", ""Schedule a video call with Tom and Tom's boss Friday at 2 pm."", ""Schedule a video call with him and his boss Friday at 2 pm."", ""Schedule a video call with both of them Friday at 2 pm."", ""Schedule a video call with Tom and his boss Friday at 2 pm.""]"," Looks good to me . "," Schedule a video call with Tom and his supervisor Friday at 2 . ","","","1","esteng"
"737568","997","TestCalibrationHit","Thu Oct 20 14:51:40 UTC 2022","1","86400","30913","52","Thu Oct 20 15:06:34 UTC 2022","Thu Oct 20 15:06:50 UTC 2022","16"," The next all - day event is "" Meeting with Damon Straeter , Abby Gonano , Dan Marton , and Jesse Rosenfeld "" tomorrow . ","[0, 2, 3, 4, 5, 6, 7]","[""Can you change that to end on Saturday?"", ""Can you make that an all day event lasting from tomorrow until Saturday?"", ""Can you extend that to the following Saturday?"", ""Can you make that an all day event from tomorrow until Saturday?"", ""Please make that event last from tomorrow until Saturday."", ""Can you change that to last from tomorrow until Saturday?"", ""Make it from today until Saturday.""]"," What is my next all day event "," Can you extend that to Saturday ? ","","","1","esteng"
"737569","997","TestCalibrationHit","Thu Oct 20 14:51:40 UTC 2022","1","86400","30914","52","Thu Oct 20 15:06:50 UTC 2022","Thu Oct 20 15:07:38 UTC 2022","48"," Does one of these work ? ","[0, 1, 2, 4, 7, 8]","[""Looks good. Now make my track meet start around 3 pm"", ""Yes. I also have a track meet that I want to attend around 3 pm"", ""Looks good. I also have a track meet at around 3 pm"", ""Yes. I also have a track meet that day at around 3 pm"", ""Looks good. I also have a track meet today around 3 pm"", ""Looks good. I also have a track meet that day around 3 pm""]"," Please change this to In N Out Burger and make it around 5 pm "," yes . now make me a track meet event around 3 pm ","","","2","esteng"
"737570","997","TestCalibrationHit","Thu Oct 20 14:51:40 UTC 2022","1","86400","30915","52","Thu Oct 20 15:07:38 UTC 2022","Thu Oct 20 15:08:03 UTC 2022","25","","[0, 1, 2, 3, 4, 5, 7, 8, 9]","[""I need to cancel all my meetings for tomorrow."", ""Can you move my Thursday meeting to Friday afternoon?"", ""Can you change my meeting on Thursday to be in the afternoon?"", ""Can you move my meeting from Thursday to Friday afternoon?"", ""Change my meeting from Thursday to Friday afternoon."", ""Move my meeting from last Thursday to this Friday afternoon."", ""Move my meeting on Thursday to the same time."", ""Move my appointment on Thursday to the same time."", ""Change my appointment on Thursday to next Thursday at the same time.""]",""," Cancel the meeting I had scheduled for this Thursday and switch it to Friday afternoon . ","","","2","esteng"
