user_turn_0,agent_turn_0,user_turn_1,option_0,option_0_idx,option_1,option_1_idx,option_2,option_2_idx,option_3,option_3_idx,is_checkmark_page
 that 's great ," I 've changed "" staff meeting "" to be without Doug and Joan . "," Great . We have a kickball game tonight that Emily wo n't be there , Darren is going to come in her place .","Emily isn't coming to the kickball game today, but Darren is.",1,"Emily isn't going to make it to the kickball game tonight, but Darren is.",0,What about Sunday?,3,"Emily isn't coming to the kickball game tonight, but Darren is.",2,true
 when is my lunch meeting ? ," event matching "" lunch meeting "" is on Wednesday at 8 : 00 AM . ", who is my lunch meeting with ?,Who is invited to lunch?,2,Who is attending the lunch meeting?,1,Who is my lunch meeting with?,0,defer the next meeting Simmons,3,true
 Please change meeting with kay to 2 pm . , I did n't find any events with kay . , next meeting with jesse,What meeting do I have in an hour?,3,what is my next meeting with jesse,1,What is my next event with Tristan?,2,what is my next meeting with jesse,0,true
 Change it to Stop & Go . , Could you be more specific with your request ? , Change the title to Stop & Go,Change the title to Stop & Go & &,2,What meeting do I have an hour from now?,3,Change the title to Stop & Go &,1,Change the title to Stop & Go,0,true
,, What events do I have after 14 : 00 tomorrow ?,Add to calendar dirty 30 with Brenda on the 18th at noon.,3,What do I have after 1400?,2,What do I have going on after 14h tomorrow?,1,What do I have going on after 1400 tomorrow?,0,true
,, Do I have anything going on tonight ?,What meeting do I have tonight?,2,Do I have anything scheduled tonight?,0,Can you schedule a meeting with Karina on Saturday at 8 pm?,3,Do I have any meetings today?,1,true
 Set Dr appointment for next Tuesday . , Does one of these work ? , It should be an hour long from 2 to 3,The appointment should be for one hour from 2:00 to 3:00 pm.,0,"No, I need it to be 2 hours long, from 2 to 3 pm.",1,Mark all day Wednesday as Busy.,3,"No, I need it to last 3 hours, so from 2 to 3pm please.",2,true
,, Mark Wednesday as busy .,Who is invited to lunch?,3,Show my status as Busy for all of Wednesday.,1,Mark all day Wednesday as Busy.,2,Mark me as busy on Wednesday.,0,true
 The second one works well for my schedule . , I 've put that on your calendar . , Create a Sales Team Meeting one hour after the Appointment .,Book a Sales Team Meeting 1 hour after my last meeting today.,2,Can you rename that to In N Burger Burger and make it start around 5 pm?,3,Add a Sales Team Meeting an hour after that.,1,Book a Sales Team Meeting 1 hour after my Appointment.,0,true
,, Find todays lunch date with sam,Find my lunch date with sam today.,0,Decline house party invite and say I have to work.,3,Find my lunch date today with sam.,1,Find today's lunch date with sam.,2,true
