user_turn_0,agent_turn_0,user_turn_1,option_list,option_idx_list,option_prob_list
 fix the first one meeting , I 've put that on your calendar . , Ben is coming in to work on the new PC infrastructure in the morning . ,"[""I need to meet with Ben to work on the new PC infrastructure in the morning."", ""I need to meet with Ben to work on the new PC infrastructure that morning."", ""I need to meet with Ben to work on the new PC infrastructure this morning."", ""I need to meet with Ben to work on the new PC infrastructure tomorrow morning."", ""Let's put work on the new PC with Ben in the morning."", ""Let's meet with Ben to work on the new PC infrastructure at 1."", ""Schedule a meeting with Ben about work in the morning."", ""Let's meet with Ben to work on the new PC infrastructure at like in the morning."", ""I need to meet with Ben to work on the new PC that morning.""]","[0, 1, 2, 3, 4, 5, 6, 7, 8]","[""12"", ""0"", ""0"", ""0"", ""0"", ""0"", ""0"", ""0"", ""0""]"
 make that 9 - 10 : 30 , Is this the change you want to make ? ," Actually , just make it all day on Saturday ","[""Make it last all day Saturday."", ""Why would you change the time?"", ""Make it for all day Saturday."", ""Make it an all day event."", ""Make it an all day event on Saturday.""]","[0, 1, 2, 4, 8]","[""47"", ""0"", ""0"", ""0"", ""0""]"
 What time does the baseball game begin ? ," The event matching "" baseball game "" is on November 20 th at 11 : 00 PM . ", Change the end time for this event to 2 : 30 PM . ,"[""Have this event end at 2:30 PM.""]",[0],"[""97""]"
 Spartan 008 - Li ? , Here is the contact information for Spartan 008 - Li : , Spartan 010 - Naomi ? ,"[""Spartan 010-Naomi"", ""Spartan 010"", ""Spartan"", ""Find \""Spartan 010-Naomi\"""", ""Spartan 010 Naomi"", ""Im a part of the Spartan 010-Naomi"", ""Spartan 010 Li"", ""Spartan 010 __User"", ""Spartan 010 008""]","[0, 1, 2, 3, 4, 5, 7, 8, 9]","[""12"", ""0"", ""0"", ""0"", ""0"", ""0"", ""0"", ""0"", ""0""]"
,, Decline Riley 's birthday party telling her I 'll be out of state that weekend . ,"[""Decline Riley's birthday party and say that I'll be out of state that weekend."", ""Decline Riley's birthday party and say I'll be out of state that weekend."", ""Decline Riley's birthday party invite and say I'll be out of state"", ""Decline Riley's birthday and say that I'll be out of state that weekend."", ""Decline Riley's birthday party and say that I'll be out of state that weekend __User"", ""Decline Riley's birthday party invite and say I'll be out of state."", ""Decline Riley's birthday party and say that I'll be out of state that weekend that weekend."", ""Decline my invite to my birthday's birthday party and say I'll be out of state that weekend."", ""Decline Riley's birthday party and say that I'll be out of state that weekend her weekend."", ""Decline Riley's birthday party invite and tell her I'll be out of state that weekend.""]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[""63"", ""0"", ""0"", ""0"", ""0"", ""0"", ""0"", ""0"", ""0"", ""0""]"
" Yo , what events do I have coming up . Got ta make sure my sched is tight ", I did n't find any events . , Can you double check that I do n't have anything planned on Saturday ? ,"[""How do I delete an event?"", ""Show me my calender"", ""Can you clear my calendar for monday?"", ""If I have any meetings next week, delete them."", ""What events do I have the rest of the week?"", ""What do I have going on Saturday?"", ""Do I have anything on Saturday?"", ""No, show me anything on Saturday"", ""What about next Saturday?""]","[0, 1, 2, 3, 4, 5, 6, 8, 9]","[""37"", ""2"", ""1"", ""1"", ""0"", ""12"", ""0"", ""0"", ""0""]"
 When were John and I supposed to meet to discuss the merger ? , It starts on Friday at 9 : 00 AM . , Let 's put down merger ideas at 8 AM with bill . ,"[""put the merger ideas with bill at 8.00 am""]",[0],"[""89""]"
 What are the high and low temps in AZ ? , The maximum temperature is 0 . 00 ° F today . The minimum temperature is 0 . 00 ° F today . , where is the low temp in az ? ,"[""Do you know when it will rain next?"", ""what is the low in az"", ""what is the low in az temp today"", ""what is the low for az low today?"", ""What are the low temps in az AZ"", ""what is the low in az where"", ""what is the low temp today in az temp low"", ""what is the low az temp temp today"", ""what is the lowest temp in az in 32 hours""]","[0, 1, 2, 3, 5, 6, 7, 8, 9]","[""17"", ""8"", ""0"", ""0"", ""0"", ""0"", ""0"", ""0"", ""0""]"
,, When is it supposed to be warmest in San Diego during the week of Valentine 's Day ? ,"[""When is Valentines Day in San Diego?"", ""What is the high the week of Valentines Day in San Diego?"", ""When will it be warmest this week in San Diego?"", ""How hot will it be in San Diego on Valentine's Day?"", ""What day will be the coldest day in San Diego the week of Valentine's Day?"", ""Tell me what day of the week it will be in San Diego."", ""When is Veteran's Day in San Diego?"", ""When is Labor Day in San Diego?""]","[0, 2, 3, 4, 5, 6, 8, 9]","[""29"", ""0"", ""0"", ""0"", ""0"", ""0"", ""0"", ""0""]"
 Delete fishing in April from my calendar . , Is this what you want me to cancel ? , Change that to fishing . ,"[""Actually delete fishing, not hunting."", ""change the fishing time"", ""Actually just change the name to fishing."", ""Can you find my fishing event?"", ""Actually I meant fishing in March.""]","[0, 1, 2, 4, 5]","[""62"", ""0"", ""0"", ""0"", ""0""]"
 what s the weather like today , You have n't shared your location with me . Where are you ? , do I need an umbrella ? ,"[""Is it raining?"", ""Will it rain today?"", ""Is it going to rain?"", ""Will it rain?"", ""what will the weather be like at the meeting?"", ""Will it rain then?"", ""Is it raining today?"", ""Will it rain that day?""]","[0, 1, 2, 3, 5, 6, 8, 9]","[""16"", ""3"", ""1"", ""0"", ""0"", ""0"", ""0"", ""0""]"
 What time is my third event on Tuesday ? , The 3 rd event on Tuesday the 10 th is at 12 : 00 PM . , How long will my 3 rd meeting with Abby last ? ,"[""How long will my third event with Abby last?"", ""How long will my third event last?"", ""How long is my third event with Abby today?"", ""How long will my third event on March 3rd be with Abby?"", ""How long will my third event with Abby last on the 3rd?"", ""How long is my third event with Abby in March?"", ""How long is my third event with Abby?"", ""How long will my third event with Abby last that month?"", ""How long is my third event with Abby on March 3rd?""]","[0, 1, 2, 3, 4, 5, 7, 8, 9]","[""10"", ""0"", ""0"", ""0"", ""0"", ""0"", ""0"", ""0"", ""0""]"
,, when is thursdays order due ,"[""How many months have 30 days?"", ""when is my order due?"", ""When is St. Patrick's Day?"", ""when is my order due due?"", ""when is the order due __User"", ""when is my order due is"", ""when is the order due thursdays"", ""when is the order due when"", ""when is order thursdays due?"", ""What time is the order due today?""]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[""1"", ""33"", ""0"", ""0"", ""0"", ""0"", ""0"", ""0"", ""0"", ""0""]"
 What day next week do I meet with Cindy ? , The event with Cindy next week is on June 4 th at 2 : 00 PM . , Change the Meeting with Cindy Carmichael to 10 : 00 am on Tuesday . ,"[""Move my meeting with Cindy Carmichael to Tuesday at 10 AM."", ""Move \""Meeting with Cindy Carmichael\"" to 10:00 AM on Tuesday."", ""Change my meeting with Cindy Carmichael to 10:00 AM"", ""Can you change my Meeting with Cindy Carmichael to next Tuesday at 10 am?"", ""Change the meeting with Cindy to 10 AM on Tuesday."", ""Move my meeting with Cindy Carmichael to 10 AM on the same day please."", ""Change my meeting with Cindy Carmichael to 10:00 AM on Tuesday.""]","[0, 1, 2, 3, 4, 5, 8]","[""3"", ""0"", ""0"", ""0"", ""0"", ""0"", ""0""]"
,, Add learning how to make vegan egg rolls with Sam an hour after work until 2 hours before dance practice . ,"[""Schedule learning how to make vegan egg rolls with Sam 2 hours before dance practice."", ""Schedule learning how to make egg egg rolls with Sam for 2 hours before dance practice."", ""Schedule learning how to make vegan rolls rolls with Sam 2 hours before dance practice."", ""Schedule learning how to make egg rolls rolls with Sam 2 hours before dance practice."", ""Schedule learning how to make vegan egg rolls with Sam for 2 hours before dance practice."", ""Schedule learning how to make vegan egg rolls with Sam 2 hours before work.""]","[0, 1, 2, 3, 5, 9]","[""0"", ""0"", ""0"", ""0"", ""0"", ""0""]"
" Hello , we are expecting it to be windy tomorrow . Can 60 MPH wind gusts topple trees ? If so , what can I do to protect them from the wind ? ", Yes . The average wind speed will be 0 . 00 mph tomorrow . , Rhode Island ,"[""I am in Rhode Island""]",[0],"[""79""]"
 LOOK IS CORRECT ," I can help you create , update , and delete events on your calendar . You can also ask me about your schedule . ", Set up meeting with Wendy for Wednesday at 8 . ,"[""Add a meeting with Wendy to my calendar on Wednesday at 8 AM."", ""Add a meeting with Wendy on Wednesday at 8:00 PM."", ""Add a meeting with Wendy on Wednesday at 8:00 AM."", ""Add a meeting with Wendy at 8am"", ""Add a meeting with Wendy at 8:00 PM on Wednesday."", ""I have a meeting with Wendy on Wednesday at 8 am""]","[0, 1, 2, 5, 7, 8]","[""52"", ""1"", ""0"", ""0"", ""0"", ""0""]"
